size: 200
fiber radius: 4.990000e+00
fiber number: 262
total fiber number: 287
102,132
130,128
32,14
128,114
56,170
110,88
132,12
32,144
106,10
160,160
40,106
132,154
 8,70
198,172
120,158
90,50
50,120
92,32
86,98
192,54
18,164
98,88
70,116
150,158
48,38
60,144
190,166
102,44
98,64
112,34
198,158
70,132
50,182
198,12
36,84
76,154
152,140
148,110
46,142
54,48
124,200
142,126
26,184
130,186
48,14
 8,118
162,190
26,154
198,80
12,86
104,152
138,24
92,190
38,40
38,24
16,152
160,20
116,172
92,200
166,116
186, 6
156,182
62,200
130,138
180,94
18,66
22,118
108,20
154,130
186,76
20,78
186,102
76,76
146,42
78,180
170,14
22,34
90,10
 8,58
80,48
144,194
12,132
174,138
68,10
122,66
34,50
118,138
10,200
56,104
22, 4
44,170
 4,144
176,152
72,28
108,178
38,182
110,64
160,64
170,56
16,184
198,28
76,100
176,74
110,194
62,62
144,98
184,134
168,84
88,76
112,120
144,14
150,56
140,148
126,80
80,170
134,70
144,74
86,110
 8,22
66,104
122,40
50,130
28,106
166,172
66,164
178,30
80,120
82,38
32, 4
182,114
56,32
172,40
136,90
44,154
162,94
36,68
18,174
12,98
188,152
56,154
146,88
166,132
36,128
182,64
82,88
154,78
50,86
46,56
22,194
100,170
194,40
198,90
118,106
178,174
96,142
128,98
82,142
102,186
182,196
84,132
80,198
52,68
96,22
138, 4
 4,48
74,18
60,128
138,174
32,172
198,134
158,42
60,94
156,116
 4,182
32,192
192,194
136,50
150,174
50, 2
 2,102
188,180
80,10
104,96
28,94
68,182
120,90
188,28
74,56
192,64
44,78
138,116
86,20
92,120
150,32
86,66
 8,166
116, 6
116,76
166,152
140,184
192,118
94,104
136,164
22,14
106,162
60,84
68,44
118,24
136,80
170,106
178,164
160,30
106,78
168, 4
58,10
192,142
154, 6
176,124
120,56
128,24
92,156
24,130
22,142
16,48
10,40
134,38
118,182
66,74
42,96
172,188
114,150
110,52
158,106
52,192
184,48
90,178
122,122
72,66
22,24
164,74
42,192
136,60
34,116
30,76
60,116
178,84
28,62
188,88
90,168
32,32
160,54
186,18
62,20
200, 2
106,142
108,108
182,144
10,12
70,88
18,106
70,142
70,194
-2,172
-2,158
-2,12
124, 0
-2,80
92, 0
62, 0
10, 0
22,204
204,144
-2,28
32,204
-2,90
182,-4
80,-2
138,204
204,48
-2,134
204,182
50,202
202,102
168,204
 0, 2
200,202
 0,202
