156
36,46
64,186
38,182
88,24
82,120
122,144
24,60
86,102
54,162
186,148
116,48
194,110
48,98
136,80
198,8
184,160
54,68
28,146
132,100
144,182
68,140
8,150
96,182
124,172
116,38
178,6
34,196
102,96
138,10
106,20
164,146
130,162
88,166
28,36
168,162
132,126
88,4
34,22
192,186
148,54
110,190
198,62
134,36
200,36
114,178
40,74
124,54
198,148
118,22
120,6
64,34
96,140
64,108
22,124
192,50
58,136
14,52
158,136
122,78
2,94
94,156
158,96
40,148
38,58
86,130
124,118
174,54
24,188
96,128
130,110
106,200
22,22
82,90
154,126
188,196
106,108
98,80
150,106
30,118
148,80
142,90
68,86
40,166
178,80
76,44
150,166
100,38
30,12
118,164
126,134
4,26
98,170
112,126
42,30
10,128
108,140
56,42
190,18
146,148
174,188
8,188
134,68
24,198
142,200
164,22
72,12
182,136
50,12
60,14
10,102
128,18
156,182
22,166
60,150
158,58
112,80
158,68
150,22
174,18
18,156
48,108
194,88
142,112
16,138
168,120
60,92
132,192
92,50
44,20
180,104
84,38
188,34
144,130
90,14
46,132
78,30
76,170
54,186
108,56
188,72
134,50
72,196
178,92
-2,8
34,-4
88,204
-2,62
0,36
-2,148
202,94
106,0
188,-4
204,26
24,-2
142,0
72,-4
